Master_Rec,zone_id,hour,Day,Hours,Latitude,Longitude
300725444,8,19,Tuesday,19,35.20474,-89.777689
300725501,2,6,Wednesday,6,35.217164,-89.836106
300726722,3,13,Thursday,13,35.196202,-89.868755
300726723,8,16,Thursday,16,35.207591,-89.791873
300726731,2,17,Thursday,17,35.204893,-89.840515
300726732,1,9,Friday,9,35.22766,-89.80184
300726733,3,10,Friday,10,35.200634,-89.86678
300726735,7,13,Friday,13,35.238323,-89.79108
300726736,3,22,Friday,22,35.20455,-89.86426
300726736,3,22,Friday,22,35.20455,-89.86426
300727158,6,2,Saturday,2,35.262207,-89.768135
300727159,6,0,Friday,0,35.264871,-89.7914
300727162,3,11,Monday,11,35.204779,-89.860615
300727163,7,18,Monday,18,35.240574,-89.7856
300727164,5,8,Tuesday,8,35.2579,-89.86142
300727473,1,8,Wednesday,8,35.207591,-89.79196
300727474,3,13,Wednesday,13,35.205349,-89.834336
300727474,3,13,Wednesday,13,35.205349,-89.834336
300727475,6,13,Wednesday,13,35.249048,-89.792918
300727743,1,6,Thursday,6,35.233986,-89.800995
300729023,2,18,Saturday,18,35.20482,-89.84069
300730799,6,20,Sunday,20,35.238439,-89.793073
300735024,3,14,Tuesday,14,35.204694,-89.843045
300735942,1,17,Friday,17,35.233837,-89.802338
300814543,3,12,Sunday,12,35.1988,-89.841217
300814544,8,16,Sunday,16,35.218189,-89.790652
300814545,2,21,Monday,21,35.221153,-89.81806
300814546,4,22,Monday,22,35.229996,-89.855225
300814552,4,22,Monday,22,35.204636,-89.86431
300814552,4,22,Monday,22,35.204636,-89.86431
300814554,6,9,Tuesday,9,35.266284,-89.76854
300814761,6,14,Sunday,14,35.240949,-89.784448
300814762,2,10,Thursday,10,35.205643,-89.840526
300814763,4,13,Wednesday,13,35.207286,-89.880553
300814764,2,17,Wednesday,17,35.228499,-89.845261
300814764,2,17,Wednesday,17,35.228499,-89.845261
300815415,1,9,Thursday,9,35.213238,-89.818015
300815416,2,16,Tuesday,16,35.205069,-89.839488
300815417,4,10,Thursday,10,35.204533,-89.86423
300815417,4,10,Thursday,10,35.204533,-89.86423
300815418,2,12,Friday,12,35.204711,-89.842366
300815419,2,17,Friday,17,35.205483,-89.835742
300815420,6,2,Sunday,2,35.262325,-89.81965
300815421,4,20,Sunday,20,35.220455,-89.880427
300815673,4,9,Tuesday,9,35.226574,-89.846862
300815885,4,9,Monday,9,35.207107,-89.887118
300816110,3,18,Wednesday,18,35.201974,-89.845047
300816359,1,14,Thursday,14,35.23747,-89.79345
300816359,1,14,Thursday,14,35.23747,-89.79345
300816360,3,15,Thursday,15,35.188633,-89.87492
300816361,5,21,Thursday,21,35.258104,-89.848735
300817030,4,10,Thursday,10,35.226586,-89.859563
300817031,4,13,Wednesday,13,35.216124,-89.86914
300817033,1,17,Friday,17,35.227614,-89.811809
300817244,6,6,Monday,6,35.255337,-89.77269
300818003,2,16,Wednesday,16,35.205532,-89.83527
300818003,2,16,Wednesday,16,35.205532,-89.83527
300818621,6,10,Tuesday,10,35.248886,-89.79521
300818622,5,13,Tuesday,13,35.25723,-89.85422
300818751,5,23,Thursday,23,35.234911,-89.842752
300818752,8,10,Monday,10,35.205783,-89.777643
300818753,4,2,Sunday,2,35.2042,-89.867413
300819642,2,19,Wednesday,19,35.232178,-89.839874
300819644,1,17,Tuesday,17,35.237278,-89.79305
300819644,1,17,Tuesday,17,35.237278,-89.79305
300819645,2,21,Tuesday,21,35.22884,-89.83717
300819645,2,21,Tuesday,21,35.22884,-89.83717
300819645,2,21,Tuesday,21,35.22884,-89.83717
300819645,2,21,Tuesday,21,35.22884,-89.83717
300819646,2,10,Wednesday,10,35.23212,-89.837776
300819647,2,9,Wednesday,9,35.216941,-89.836002
300819648,5,18,Wednesday,18,35.264305,-89.85608
300819649,4,20,Wednesday,20,35.204191,-89.868526
300819650,4,15,Thursday,15,35.23379,-89.855
300820619,4,15,Sunday,15,35.218815,-89.868251
300820620,4,15,Tuesday,15,35.204413,-89.866588
300820621,5,22,Wednesday,22,35.2447,-89.84311
300820622,2,15,Tuesday,15,35.23388,-89.829325
300820632,4,21,Friday,21,35.20421,-89.868524
300820636,2,1,Saturday,1,35.204904,-89.840443
300820637,4,16,Saturday,16,35.218677,-89.869246
300820638,6,16,Saturday,16,35.244497,-89.77565
300820639,5,4,Sunday,4,35.257164,-89.833881
300820640,2,15,Sunday,15,35.21696,-89.83612
300820641,4,14,Sunday,14,35.219749,-89.858765
300820892,3,2,Sunday,2,35.197712,-89.868996
300825319,3,16,Sunday,16,35.203097,-89.864405
300896507,6,10,Sunday,10,35.250579,-89.806359
300896508,4,14,Sunday,14,35.229049,-89.83631
300896513,2,17,Sunday,17,35.217012,-89.836366
300896966,8,10,Monday,10,35.205094,-89.791994
300896969,2,13,Monday,13,35.206356,-89.840595
300896971,4,15,Monday,15,35.204657,-89.855766
300896991,2,9,Wednesday,9,35.216948,-89.83712
300897011,3,2,Wednesday,2,35.202823,-89.857409
300897891,3,20,Wednesday,20,35.204751,-89.860283
300897902,2,20,Wednesday,20,35.216818,-89.836157
300897903,4,7,Thursday,7,35.225921,-89.84801
300897915,2,11,Thursday,11,35.20487,-89.840316
300897925,4,7,Saturday,7,35.2047,-89.84198
300897926,3,15,Saturday,15,35.190738,-89.869366
300897927,2,12,Saturday,12,35.204829,-89.840672
300897928,7,17,Saturday,17,35.205121,-89.791946
300897928,7,17,Saturday,17,35.205121,-89.791946
300897929,5,12,Sunday,12,35.238508,-89.853009
300897931,2,12,Monday,12,35.217016,-89.836132
300898099,4,7,Monday,7,35.220592,-89.88275
300898099,4,7,Monday,7,35.220592,-89.88275
300898100,5,8,Monday,8,35.258548,-89.866671
300898463,4,19,Saturday,19,35.218401,-89.872567
300898464,5,10,Wednesday,10,35.241957,-89.830293
300898465,4,14,Tuesday,14,35.20413,-89.871537
300898466,7,16,Wednesday,16,35.245931,-89.771922
300898469,3,16,Wednesday,16,35.201065,-89.868597
300898471,1,17,Wednesday,17,35.228455,-89.811051
300898472,5,0,Wednesday,0,35.268482,-89.841451
300898674,4,2,Saturday,2,35.211542,-89.866125
300898675,2,16,Wednesday,16,35.204919,-89.840424
300898677,1,9,Thursday,9,35.233029,-89.813066
300898678,6,12,Friday,12,35.257626,-89.793136
300899048,3,16,Saturday,16,35.204704,-89.864457
300899048,3,16,Saturday,16,35.204704,-89.864457
300899050,2,14,Friday,14,35.217171,-89.843774
300899575,4,11,Tuesday,11,35.204533,-89.857418
300899576,3,18,Tuesday,18,35.200769,-89.839478
300899576,3,18,Tuesday,18,35.200769,-89.839478
300899587,1,7,Monday,7,35.214576,-89.82521
300899588,4,15,Monday,15,35.204727,-89.86206
300899590,4,20,Friday,20,35.218314,-89.863684
300899590,4,20,Friday,20,35.218314,-89.863684
300899591,2,13,Saturday,13,35.217253,-89.836147
300899592,3,21,Saturday,21,35.195063,-89.856154
300899593,6,20,Saturday,20,35.260857,-89.813218
300899594,4,2,Sunday,2,35.207213,-89.870287
300902160,4,15,Monday,15,35.204478,-89.855521
300902161,4,15,Monday,15,35.204628,-89.856471
300903292,3,10,Monday,10,35.20485,-89.840547
300903314,6,21,Friday,21,35.257057,-89.793188
300908238,8,13,Monday,13,35.209851,-89.768399
300712405,5,12,Tuesday,12,35.238618,-89.829822
300712407,8,14,Tuesday,14,35.204777,-89.777725
300712407,8,14,Tuesday,14,35.204777,-89.777725
300713762,8,8,Thursday,8,35.218097,-89.791712
300713767,4,13,Thursday,13,35.211554,-89.848381
300713771,2,8,Friday,8,35.206127,-89.840576
300713772,4,0,Saturday,0,35.211483,-89.8682
300713773,5,15,Saturday,15,35.265636,-89.842026
300713775,7,18,Saturday,18,35.216549,-89.768772
300713776,4,9,Sunday,9,35.221185,-89.86355
300713776,4,9,Sunday,9,35.221185,-89.86355
300714195,1,17,Thursday,17,35.214592,-89.82516
300714197,6,20,Friday,20,35.235192,-89.796967
300715037,2,15,Thursday,15,35.205208,-89.83874
300715038,8,7,Wednesday,7,35.20834,-89.779274
300715066,8,16,Wednesday,16,35.211349,-89.81465
300715067,6,16,Wednesday,16,35.261314,-89.78346
300715068,2,17,Tuesday,17,35.22876,-89.836163
300715070,5,17,Wednesday,17,35.260338,-89.85578
300715072,3,19,Thursday,19,35.20252,-89.8647
300715320,6,15,Friday,15,35.254852,-89.77301
300715321,7,19,Friday,19,35.234191,-89.754714
300715345,1,16,Friday,16,35.229146,-89.81035
300715345,1,16,Friday,16,35.229146,-89.81035
300715346,3,17,Friday,17,35.204745,-89.840479
300715404,4,21,Friday,21,35.20488,-89.861374
300715664,3,12,Sunday,12,35.203027,-89.840378
300715819,6,14,Sunday,14,35.243646,-89.801126
300715820,4,15,Sunday,15,35.204747,-89.863562
300715820,4,15,Sunday,15,35.204747,-89.863562
300715897,6,7,Monday,7,35.253368,-89.804762
300716111,4,15,Monday,15,35.212953,-89.868235
300716111,4,15,Monday,15,35.212953,-89.868235
300716128,2,16,Monday,16,35.205393,-89.834674
300716128,2,16,Monday,16,35.205393,-89.834674
300716193,3,7,Tuesday,7,35.197546,-89.868919
300716203,4,10,Tuesday,10,35.228537,-89.848877
300716400,4,13,Tuesday,13,35.204577,-89.857468
300716401,2,5,Wednesday,5,35.233786,-89.837748
300716460,2,12,Monday,12,35.229354,-89.836235
300717570,4,22,Wednesday,22,35.22887,-89.83602
300717572,4,5,Thursday,5,35.204212,-89.87043
300717573,3,11,Thursday,11,35.203968,-89.840448
300717574,4,11,Thursday,11,35.221317,-89.86351
300717574,4,11,Thursday,11,35.221317,-89.86351
300717575,8,16,Thursday,16,35.204706,-89.777687
300717575,8,16,Thursday,16,35.204706,-89.777687
300717576,4,7,Friday,7,35.218049,-89.856889
300717578,3,13,Friday,13,35.204088,-89.869653
300717579,3,13,Saturday,13,35.19071,-89.87921
300717785,2,0,Sunday,0,35.20473,-89.84441
300717810,2,15,Sunday,15,35.20504,-89.839461
300717811,1,16,Sunday,16,35.213447,-89.823735
300717813,2,16,Sunday,16,35.205338,-89.837983
300718060,5,8,Sunday,8,35.236324,-89.8419
300718064,2,9,Monday,9,35.216671,-89.846744
300718358,7,17,Tuesday,17,35.239069,-89.789407
300718362,1,21,Tuesday,21,35.205383,-89.834508
300718362,1,21,Tuesday,21,35.205383,-89.834508
300718438,5,6,Wednesday,6,35.265568,-89.84433
300718627,3,16,Wednesday,16,35.2005,-89.839325
300718627,3,16,Wednesday,16,35.2005,-89.839325
300718693,8,8,Thursday,8,35.207561,-89.79207
